Mass Error,Number of proteins,Avg Runtime,Number of true positives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.009,10,0.121066382,2,4,2,4,3,1,3,1,3,3,1,1,0,0,1,5,0,3,1,3,1,0,3,1,1,1,2,1,4,1,1,0,1,1,1,2,2,1,0,0,2,4,2,1,0,3,4,3,2,2,1,1,0,6,2,3,3,3,3,1,0,2,0,2,2,0,2,2,3,0,1,0,2,4,3,1,0,2,3,1,2,2,1,1,1,2,3,6,2,0,0,3,1,1,2,1,3,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,10,0.142303932,1,2,1,2,3,2,2,1,4,2,2,5,3,1,2,1,1,2,2,0,0,4,1,2,2,0,2,2,2,5,1,2,0,2,2,0,5,2,1,3,0,1,2,2,3,0,3,1,0,4,1,1,2,2,1,0,0,1,2,3,2,1,2,4,1,1,4,3,1,4,1,5,0,1,1,2,1,3,0,2,2,4,1,3,1,4,1,2,1,2,3,2,2,2,1,1,1,1,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001,20,0.309800777,16,16,12,15,16,16,15,18,18,17,17,18,16,19,15,17,20,16,15,16,17,14,18,17,15,18,16,16,13,17,19,15,19,15,19,20,11,17,18,15,17,17,14,19,14,14,19,14,15,15,17,18,17,19,19,15,19,15,16,15,19,12,17,17,15,16,19,18,19,15,15,20,18,17,15,19,17,18,18,16,16,14,19,17,18,16,16,18,15,13,13,19,17,18,17,14,18,17,18,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002,20,0.49461679,12,9,13,17,14,13,11,13,15,10,15,13,17,12,11,15,10,14,9,13,13,11,10,10,9,11,13,10,13,16,11,13,10,14,13,8,12,11,12,12,15,13,16,11,14,11,12,13,11,13,14,10,9,10,12,13,12,12,13,9,11,14,13,10,16,9,9,15,10,11,16,12,8,12,14,15,9,18,12,13,12,12,11,14,12,8,12,12,11,13,10,12,8,11,12,11,16,12,9,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003,20,0.303862503,8,13,10,10,7,10,10,9,9,8,10,10,10,8,12,11,9,13,8,10,14,7,9,9,8,5,12,9,10,14,10,10,10,14,12,11,14,12,9,11,10,10,8,7,13,8,9,11,6,8,11,10,7,8,8,9,11,11,11,8,13,10,10,9,5,12,10,9,7,8,11,7,9,9,10,11,8,9,9,10,6,10,11,8,9,8,11,8,13,10,7,10,9,5,12,4,13,8,7,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004,20,0.32245322,11,10,3,10,9,8,12,3,6,11,6,6,10,6,10,7,6,7,5,8,7,12,10,6,8,7,3,10,7,8,9,9,9,9,11,9,10,8,9,10,3,7,6,8,3,6,7,11,12,9,6,10,8,9,7,6,11,7,6,8,10,8,6,11,12,10,14,10,6,6,6,5,6,8,9,8,9,8,8,5,5,6,5,7,11,6,8,6,13,7,5,4,10,8,6,7,6,8,11,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005,20,0.318128269,4,6,8,8,10,5,9,10,6,5,8,6,10,9,8,6,10,8,3,10,4,4,10,5,7,7,6,5,9,5,8,6,4,3,6,7,7,10,10,2,6,8,6,7,9,6,7,6,7,5,7,7,5,5,10,6,4,9,5,9,6,7,8,7,14,11,4,9,6,7,12,6,2,7,4,4,9,8,6,5,6,9,3,9,4,5,7,5,5,7,10,9,9,10,7,6,4,5,7,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.006,20,0.336770678,5,7,5,9,6,6,8,3,3,5,7,4,5,6,8,11,9,2,6,3,5,7,4,11,7,6,5,4,5,6,8,4,1,8,5,7,8,9,6,8,4,10,8,8,5,6,8,7,9,6,7,6,4,6,4,7,6,3,4,4,6,5,8,5,11,5,6,9,9,8,5,5,6,5,1,1,5,3,4,6,5,10,7,4,11,4,4,3,8,7,6,4,8,8,5,2,5,5,3,6
